,headline,news_category,org
0,'Will explore legal options': Kotak Bank probing if Kingdon Capital hid Hindenburg Research links ,Company Business News,Mint
1,ONGC Leads Nifty Gainers With 3% Gain As Market Ends Flat On Monday ,NaN, Benzinga India
2,SBI wants tax parity on bank FDs with mutual funds & equity markets in Budget ,NaN, The Economic Times
3,"Rs 85,000 Crore Order Book: Railway Infra Company Hits Fresh 52-Week High with Heavy Volumes; Stock Gains 370 per cent in Just 1 Year ",NaN, Dalal Street Investment Journal
4,Trade Setup For July 9: Investors Await Q1 Earnings As Nifty Faces Key Resistance Levels ,NaN, NDTV Profit
5,"Ola replaces Google Maps with in-house ‘Ola Maps’, announces API for developers ",NaN, The Indian Express
6,Tata Motors Q1 update: Global wholesales increase 2% YoY; stock jumps ,Stock Market News,Mint
7,"Kia India Introduces New Variants For Seltos, Sonet ",NaN, Mobility Outlook
8,Liver Doc slams Nikhil Kamath for glorifying 'business of alcohol' in his podcast: 'It's a crime' ,NaN, Moneycontrol
9,L&T Enhances its Renewables Portfolio: Finalises (Mega*) Orders for Solar Plants in the Middle East ,NaN, L&T
10,Adani Wilmar shares jump over 4% despite weak stock market trends. More steam left? ,Stock Market News,Mint
11,Blackstone in advanced talks for controlling stake in Haldiram's ,NaN, Moneycontrol
12,Emcure Pharma IPO allotment status: Check step-by-step guide ,NaN, Zee Business
13,Titan gets a downgrade as Street turns cautious post Q1 business update ,NaN, CNBCTV18
14,Bajaj Freedom 125: Top 10 Stats About The World’s First CNG Motorcycle ,NaN, carandbike
15,"Zinka Logistics Headed For ₹550 Cr IPO, Files Prospectus ",NaN, Benzinga India
16,"Brightcom Group, Bohra Industries & others hit 52 week low today ;Check the full list here? ",Stock Market News,Mint
17,3 new Jio 5G True Unlimited Upgrade plans available now: how to get them ,NaN, 91mobiles
18,Retail investors key force behind market's stellar performance: Report ,Stock Market News,Mint
19,Nifty In Technical Charts: Stay The Course But Be Alert ,NaN, NDTV Profit
20,Ashish Kacholia Backed Small Cap Stock Hits All-Time High After Bagging ₹1850 Cr Order ,NaN, Benzinga India
21,"Apple may revive plans to make iPads in India, eyes Pune for AirPod cases ",NaN, Moneycontrol
22,Paytm stock zooms 9% after Vijay Shekhar Sharma aims for $100 billion valuation ,NaN, Moneycontrol
23,"Top Gainers and Losers today on 8 July, 2024: Oil & Natural Gas Corporation, ITC, Divis Laboratories, Titan Company among most active stocks; Check full list here ",Stock Market News,Mint
24,SJVN share price target 2024: Rs 1 lakh became Rs 3 lakh in 1 yr! Time to BUY PSU stock for more gains? ,NaN, ET Now
25,NHPC Shares Extend Gains To 4th Day As Brokerage Issues 'Buy' Call ,NaN, Benzinga India
26,"Toyota Dealer In UP Offers 100% Road Tax Waiver On Hybrids - Innova HyCross, HyRyder, Camry (Up To Rs 4.4 ... ",NaN, RushLane
27,"Bansal Wire IPO allotment to be finalised today: latest GMP, step-by-step guide to check status ",Stock Market News,Mint
28,"Housing prices in NCR and MMR surge 49% in 5 years, unsold inventory plunges: ANAROCK ",NaN, CNBCTV18
29,Gold price in India: Rates on July 8 ,NaN, FXStreet
30,Maruti Suzuki Dispatch Via Indian Railways Cross Record 20 Lakh Vehicles ,NaN, RushLane
31,"Heatwave And Monsoon Spur Infection Surge; Augmentin, Liv 52, Electral Sales Rise in June ",NaN, News18
32,PC Jewellers gets PNB clearance for one-time settlement of outstanding dues ,NaN, Business Standard
33,Signature Global reports strong Q1 FY25 performance amid real estate sector challenges ,NaN, Moneycontrol
34,Patel Engineering share price tanks over 11% after Chairman & MD Rupen Patel passes away ,Stock Market News,Mint
35,IRFC shares surge over 9% to a record high; Can the stock reach ₹250? ,NaN, CNBCTV18
36,"Top 10 SUVs June 2024 - Punch, Creta, Brezza, Scorpio, Venue, Sonet, G Vitara ",NaN, RushLane
37,"Tata Curvv EV Teased Ahead of Official Launch, Check Details ",NaN, News18
38,"Stocks in news: Nykaa, Adani Wilmar, Titan, Bandhan Bank, IndusInd Bank, Marico, Dabur ",NaN, The Economic Times
39,"‘Techno-colonialism’: Bhavish Aggarwal likens tech giants to East India Company, says 20% of global data from India… ",Company Business News,Mint
40,"‘Ather has sh*t marketing, but…’: Nikhil Kamath reveals he didn't get discount on EV scooter ",NaN, Hindustan Times
41,New private investment plans slumped to 20-year low in Q1 ,NaN, The Hindu
42,"Nestle India announces first interim dividend for FY25: Check amount, dividend payment date etc. ",NaN, Zee Business
43,"Industry experts predict favourable outlook for auto industry, two-wheelers expected to lead ",Stock Market News,Mint
44,Bitcoin price today: slips to $57k as Mt Gox jitters rattle crypto By Investing.com ,NaN, Investing.com
45,Option strategy of the day ,NaN,Moneycontrol
46,IT Q1 FY25 earnings: Five factors to watch out for ,NaN, Moneycontrol
47,"Ratan Tata's company earns Rs 38000 crore in 5 days, becomes biggest... ",NaN, DNA India
48,Nykaa Share Price Overcomes Early Jitters To Trade Higher On Strong Q1 Update ,NaN, Benzinga India
49,"Over 6,500 Samsung workers walk off assembly lines over pay, vacation time ",NaN, Business Standard
50,Gold declines as Trump effect pushes up yields ,NaN, FXStreet
51,"Stocks to buy: ONGC, TVS Motor, IRFC among 10 stocks that may rise 6-21% in the next 3-4 weeks, say analysts ",Stock Market News,Mint
52,AU Small Finance Bank shares tumble over 4% as total deposits decline QoQ ,NaN, The Economic Times
53,Adani Green plans $9 billion infrastructure spend on green hydrogen in Phase one: Report ,NaN, Moneycontrol
54,Stocks to buy or sell: Shilpa Medicare to Shalby — Sumeet Bagadia recommends five breakout stocks ,Stock Market News,Mint
55,Tomato rates soar as Centre looks to south for new stock ,NaN, Hindustan Times
56,"Buy Or Exit — Paytm shares up 14% in two sessions, what should you do? ",NaN, CNBCTV18
57,Bank of Baroda shares in focus after Q1 business update; what should investors do? ,NaN, Zee Business
58,"ONDC logs 9.95 million transactions in June, retail category hits 6 million ",NaN, Moneycontrol
59,"Delhi HC releases Rs 80 crore security by Ashneer Grover, Madhuri Jain after they return to India from US ",NaN, Moneycontrol
60,Tata Steel Shares Remain Flat After Production And Delivery Update ,NaN, Benzinga India
61,"YES bank shares: Market trading guide: YES Bank, Inox Wind among 5 stock recommendations for Monday - Stock Ideas ",NaN, The Economic Times
62,8 diet and fitness tips to borrow from Nita Ambani ,NaN, The Times of India
63,Air India’s first Airbus aircraft with new livery lands in Delhi ,NaN, Hindustan Times
64,"Stock market today: Bandhan Bank, GNFC, Piramal Enterprises among 6 stocks in F&O ban list on July 8 ",Stock Market News,Mint
65,IREDA shares rise 8% to hit a record high; An analyst sees upside to levels of ₹270 ,NaN, CNBCTV18
66,"Have Mazagon Dock, Cochin Shipyard, Garden Reach shares run up too much, too soon? ",NaN, CNBCTV18
67,Deposit grows slower than loan for many banks in June quarter of FY25 ,NaN, Business Standard
68,Maruti Nexa July 2024 Offers Part 1-Get Discounts Of Up To Rs 2.5 Lakh ,NaN, CarDekho
69,Healthcare focused fintech startup Care.fi raises $2.6 Mn ,NaN, Entrackr
70,"Reports of 51% stake sale ""factually incorrect"", says Yes Bank; shares climb ",NaN, Moneycontrol
71,Maruti shares get a boost after UP waives registration fees on hybrid cars ,NaN, CNBCTV18
72,"Indian stock market: 6 key things that changed for market overnight - Gift Nifty, US Treasury yields to gold rate ",Stock Market News,Mint
73,Natural Gas and Oil Forecast: WTI Slips Below $83; More Sell-Off Ahead? ,NaN, FX Empire
74,"RVNL shares see ₹827 crore block deal, second in two days; Stock crosses ₹600 ",NaN, CNBCTV18
75,MCX technical glitch: Commodity trading begins at 10 AM after one hour delay ,Stock Market News,Mint
76,Zerodha's Nikhil Kamath says he has invested ₹400 crore in this liquor company: ‘Never spoken about it publicly’ ,NaN, Hindustan Times
77,"Stocks in news: Jupiter Wagons, Nestle, RailTel, Bandhan Bank, Godrej Consumer, PG Electropast ",NaN, The Economic Times
78,"Tata Motors' Global Wholesale Volumes Rise 2% In Q1, Passenger Vehicles Segment Sees Dip ",NaN, Benzinga India
79,"Kia introduces 5 new trims in Seltos and Sonet, details inside ",NaN, Zee Business
80,Bajaj Auto's CNG bike a bold move; customer adoption a concern: Analysts ,NaN, Business Standard
81,"Emcure Pharma IPO allotment – How to check allotment, IPO GMP, listing date and more ",NaN, Business Insider India
82,Kotak Mahindra Bank Ponders Whether Kingdon Capital Misrepresented Connection With Hindenburg ,NaN, Benzinga India
83,Titan stock slumps 4% after JPMorgan downgrade following weak Q1 biz update ,NaN, Moneycontrol
